json_parsed.adnumber,name,category,description
39261026,MMS321 2.0 Channel Multimedia Speakers , Desktop Hardware and Accessories,"Their in good condition, work great."
39260924,US Cutter Vinyl Plotter Sticker / Decal Cutter, Printers,"Looking to sell my Vinyl Plotter. It is a US Cutter MH871 MK2 34"" Plotter. It works great, comes with a stand, and has cut me quite a few decals. The only reason I am selling it is because The company that makes it quit servicing the machine when its run with Apple/ Mac computers. So I have to either buy a new plotter or a new computer. I chose a new plotter. This is an awesome quick easy turn key business for anyone and I promise you could pay off the purchase of this machine in just one day with the right job. This is also great for business owners who need a way to create fast, and clean marketing materials. I will also help you setup the plotter with your computer and show you how to cut stickers and include my instruction sheet I have my employees follow so anyone could cut a decal. Please call with any questions. Thank you! - Billy"
39260915,Sennheiser HD 650 Headphones, Desktop Hardware and Accessories,Owned for 4 months. Like new. Text 801-922-0185
39260913,"Brand New Macbook Pro 13"" Newest Model (2015) 11 months Apple Care", Apple Laptops,"This laptop was $1,300 Plus tax and is only 1 month old.Only has 2 charges on it. Comes with Brand New ChargerIt has Apple Care for 11 Months and you can extend it 2 more years$1,000 FIRM"
32811873,OPTIMUS PORTABLE COMPUTER SPEAKERS AMX-4 40-1407, Desktop Hardware and Accessories,PLEASE TEXT IF INTERESTEDLOCAL CASH SALE ONLYNO PAYPALTHANK YOU
39260890,HP Pavilion 10 TouchSmart Mini Laptop 2GB/500GB/AMD A4/Windows 7, Laptops,"HP Pavilion 10 TouchSmart Touchscreen Notebook PC Laptop in very good condition with charger.Model: 10-E011EA2 GB RAM500 GB Hard Drive1.00 GHz AMD A4-1200 APU with Radeon HD GraphicsWindows 7 Ultimate10"" Touch-ScreenWebcamHDMI Port"
39260797,Plastic Molded CD/DVD software case, Software,These are sometimes called clamshell cases.Over purchased and need to sell rest of stock. We have a total of 190 we need to sell. Will sell for $2.00 if purchased individually. $1.50 if purchased in sets of 2 or more.Color: BlackOutside dimensions: 10x12x1.25. There is a clear plastic cover on front to allow a cover to be inserted. The size for the slip sheet will fit up to 9x11.75Inside right dimensions: 8.60x11.15x.75 (large enough to fit a regular sized piece of paper and deep enough for a thin booklet). Inside left dimensions for a slim or a regular-sized jewel case: 5.5x4.9x.45.0
39260755,Apple Macbook Pro Laptop, Apple Laptops,"We have a late 2008 model Macbook Pro laptop specs: 4gb ram, 2.4 ghz, core 2 duo in good working condition with box. Come down and take a look."
39260853,Children's Tablet Lexi Book Tablet Master 3, Android Tablets and Accessories,So to day I have a Children's Tablet it is a  Lexi Book Tablet Master 3 great for kids I got it for my Brice but she already had a tablet so I no longer need this one so it is up for sale if interested text me I am asking $60 firm which is cheap 
39260707,1st Gen. Kindle Tablet....tlc, Android Tablets and Accessories,"This is a 1st generation Amazon Kindle Tablet.  It struggles to charge.  This is my daughter's tablet, she is selling it with a charger.  She said that if you put the charger in a certain position, and set it carefully up against a wall it may charge.  However, I would say this is a ""parts"" Kindle, and consider it not working.  For more information contact me at cell number below via call or text."
38038428,"COMPLETE HP COMPUTER 27"" WINDOWS 10 WiFi $249", Desktops,"HP DC5700 Small Form , 27"" Viewsonic Widescreen Monitor(VGA & DVI),Keyboard & Mouse   2.4ghz Intel Core2Duo Processor 2 GB Memory500gb HDD DVDRW-CDRW USB WiFi included Windows 10 Professional Has KODI 16 installedKODI is a Free TV & Movie Media Center that streams all the latest Movies and TV series you want for free . Even HBO Movie's & Cable on demand.No subscription required .Questions call 801-731-5492 No TEXT This is a Home Phone !"
39260539,"Michael Kors MacBook Pro 15"" bag", Apple Laptops,"This bag was made to carry the MacBook Pro 15"" or 13"". It is in great shape. Has the compartment for your laptop and other compartments for other things. It is a really clean taken care of bag. $300 brand new. Smoke free pet free home."
39260610,BRAND NEW CUSTOM PC, Desktops,"Building brand new PCs for graphic designing, gaming, and personal use. I built this one for a customer but he backed out. 

GTX 960 Super Superclocked
MSI Z97 gaming 5 motherboard 
EVGA 750 G2 (Gold edition)
2 4gb hyper x blue ram (1600 MHz)
1 8gb crucial server grade ram (1600 MHz)
16 gb of total ram
TP-LINK N900 wireless dual band adapter 
Intel I5 4460 Processor 
250 gig Samsung ssd 850 Evo 
WD 1 tb hard drive 
NZXT H440 chassis"
39260574,Canon Pixma Pro 100, Printers,250 or best offer. Need it gone. 500 dollar printer normally. Used only a few times. Call or text 801.884.7337
39260461,"2011 Macbook Pro 13"" (i5/4GB RAM/ 500GB) $1,000 in Software", Apple Laptops,Has Microsoft Office installed on it and some Adobe products as wellComes with a Brand New Apple Original ChargerEverything works Perfectly and absolutely ZERO Issues$600 FIRM
39260505,Amazon Kindle Fire HD 3rd Generation - 16 GB - Like New, Android Tablets and Accessories,We got this as a gift and have used it only a couple of times. It is still like new. 
38532947,New SKECHBOOK for iPad mini 2/3, Apple iPads and Accessories,Never used. Super Protective Case. Plastic all around hard shell with soft lining. Anti-slip lining supports a multi-position stand. Classic sketchbook design. Auto-off when closed. Retail price: $35. Great value!
39260240,"Great condition MacBook Pro 15""", Apple Laptops,"Hello, for sale is a great condition MacBook Pro 15"" 2009. Everything works and functions perfectly fine. There is absolutely nothing wrong with it. I kept it in great condition. It was lightly used for school and mostly Netflix haha. It comes with its original charger. I'm asking 475, if you have any questions please text me. Thanks and have a great day :)"
39260197,Dell Monitor Model 1905FP, Monitors,"Dell 19"" 1905FP LCD Monitor 5:4 1280x1024 DVI VGA USB 

This Dell monitor is perfect for the working environment, your personal office, or just for home! This monitor measures a whopping 19"" and has a cutting edge high resolution of 1280x1024. This monitor is great for conserving space when needed and will give any office a sharp, professional look. This monitor features DVI and VGA input as well as 4 USB connectors conveniently located on the side and back of the monitor to connect your other peripherals. It comes with a nice rotating stand as well. Monitor rotates 90 degrees and can be used in portrait mode. Pick up this great deal today! 

Brand and Model 	Dell 1905FP 
Screen Size 	19"" 
Resolution 	1280x1024 SXGA 
Aspect Ratio 	5:4 
Display Type 	Anti-Glare Matte LCD 
Contrast Ratio 	800:1 
Brightness 	250cd/m² 
Response Time	20ms 
Inputs 	VGA, DVI, 4 USB 2.0 

Display and power cables NOT included.

Call or Text 713-679-9136"
39260154,HP Officejet Pro 8600 Plus CM750A Wireless - Print/ Scan/Copy/Fax/Web - Refurbished, Printers,"$299.99 lowest price found online. We have six HP Officejet Pro 8600 Plus CM750A Printers available. Three of these printers are Newly Manufactured Refurbished units and come complete with all new ink, manuals, and driver discs. These Refurbished Printers come in brown shipping boxes. The other three Pro 8600 Plus Printers are Lightly Used units and come in or out of box. We have inspected and tested each of these printers to ensure that they are in good working condition. See below for more details. The pictures are stock photos from the internet of the item. If interested call us first to insure item is still available, or feel free to come to our store and check us out.**TO SEE MORE OF OUR INVENTORY, CLICK ON THE ""MORE ADS BY SELLER"" LINK BELOWOur Information:The Liquidation Team64 West Center StreetOrem, UT 84057(801) 226-2200 Hours: M-F 9:00-8:00 Sat 10:00-6:00Web Site: www.liquidationteamllc.comInformation about this product:HP Office Inkjet All-in-One Printers deliver professional colour and black-and-white documents at a low cost per page, plus a full range of copy and scan tools with advanced paper-handling options.Ideal for printing professional color for less than lasers and boosting productivity with versatile output, mobile printing and networking options.Features* Professional color for a lower cost than lasers.* Print professional color for up to 50% lower cost per page than lasers, and get a better value for frequent printing.4* Print documents that resist fading, water and highlighter-pen smears, using HP Officejet inks.2-3* Achieve ISO print speeds up to 20 ppm black and 16 ppm color,5 using affordable, individual inks.* Depend on a printer with a 25,000-page monthly duty cyclethe perfect fit for reliable color printing.* Efficient Web connectivityeven print on the go.6* Print from a variety of mobile devices on the go. With HP ePrintnow you can print from virtually anywhere.6* Use the large touchscreen with gesturing to access business apps,8 plus quickly print and store files.* Easily view and print photos from a USB drive and memory cards.* Stay connectedshare on a wireless or wired network.7* Standout versatility with copy and scan solutions.* Create flawless copies with CopySmart solutions, and easily print two-sided identification cards.* Do more with automatic two-sided print, copy and scan capabilities and the 50-page automatic document feeder.* Improve workflowsend quick faxes, scan up to legal-size documents to a PC or e-mail, and more.* Create borderless, double-sided flyers and brochures, plus print impressive business photos.* Exceptional energy and resource savings.* Use up to 50% less energy than lasers with this ENERGY STAR® qualified printer,9 and preset On or Off times.* Easily recycle cartridges, and use up to 70% less supplies and packaging by weight compared with lasers.10* Consume up to0 50% less paper while printing, using automatic two-sided printing.** Minimum dimensions (W x D x H)494 x 412.8 x 315 mm (without duplexer installed)** Maximum dimensions (W x D x H)494 x 645.5 x 315 mm (with duplexer installed, output tray extended to Legal)** Weight12.65 kgRJ"
39260227,iPad Air 16GB WiFi Brand New In Box + 1.5 Years Of Apple Care Plus, Apple iPads and Accessories,"Brand new in box, never set up, never used, iPad Air 16GB Silver WiFi. ios 9.3.1
With Apple Care Plus + providing full replacement, repairs, service coverage, and telephone technical support for the next 1.5 years, until September 15, 2017. The Apple Care+ alone is worth an extra $100.
Today all for $360 or your best offer. Don't hesitate."
39260068,HP LaserJet CM2320 Multifunctional Printer - Print/Copy/Fax/Scan - Good Working!, Printers,"We have one HP LaserJet CM2320 Multifunctional Printer available. This HP LaserJet CM2320 Multifunctional Printer is Lightly Used. Printer comes out of box. This LaserJet CM2320 Printer has been inspected to insure that it is in Good Working condition. This HP LaserJet CM2320 Printer is available to view in our store showroom. See below for more details. Pictures are intent stock photos of the product. If you are interested call us first to insure item is still available, or feel free to come down to our store to check us out.**TO SEE MORE OF OUR INVENTORY, CLICK ON THE ""MORE ADS BY SELLER"" LINK BELOWOur Information:The Liquidation Team64 West Center StreetOrem, UT 84057(801) 226-2200Hours: M-F 9:00-8:00 Sat 10:00-6:00Information about this product:HP CM2320 Color LaserJet Multifunction Printer* Color LaseJet Multifunction Printer* Print Speeds of Up to 21 Pages Per Minute ppm, Letter 20 ppm, A4* 50 Page Automatic Document Feeder, ADF* Hi Speed USB 2.0 port, Built In Ethernet/Fast Ethernet Networking, RJ-11 Fax Ports* One Door Access to the HP Print CartridgesGet advanced print, copy, fax,1 and scan capabilities in a single easy to use device, eliminating the expense and space of multiple single function devices. Receive both black and white and color output quickly with print speeds of up to 21 pages per minute /ppm, letter /20 ppm, A4. Typical office print job Time To Completion can be nearly three times faster with the MFPs Instant on Technology. Instant on Copy with LED based scanning technology delivers your first copy in seconds. With a total input capacity of up to 550 sheets, you can stay focused on your work.1 Use the 50 page automatic document feeder /ADF for unattended copying, scanning, and faxing. The HP Color LaserJet CM2320fxi MFPs photo memory card slots make it simple to create impressive marketing materials with high quality photo accents. Import images directly into business documents, or print them from the control panel. Print professional quality brochures and more at your desk. Free HP marketing tools allow you to create and customize your documents instantly, so each communication speaks directly to your customers needs. With the included Print View feature, you can change print settings and see immediately how those changes affect your document before you print. Determine costs beforehand for better project planning and decision making with the Print Cost Estimator. Easily get optimized print quality for each of the many supported media types. With a single click in your print driver, select from a collection of pre configured Printing Shortcuts including settings for everyday printing, envelopes, glossy paper, and more.** Dimensions: 19.6 x 19.4 x 21.7 inches** Weight: 59.3 poundsRJ"
39260043,EVGA GTX 570, Desktop Hardware and Accessories,I have an EVGA GTX 570 for sale. I bought it from a friend but never used it. Looking for 100$ obo. 
39259693,Apple iPad 2 Dock, Apple iPads and Accessories,"Apple iPad 2 docking station in good working contition. We Offer Layaway!American Fork Pawn Shop88 West Main StreetAmerican Fork, UT, 84003801-763-5500 WORK801-707-0500 CELLHours: Mon-Sat: 10am-6pmClosed Sundays"
38750610,HP Ultrabook i5 8GB Ram HD 7670M 32gb SSD 500GB HDD, Laptop Hardware and Accessories ,"I am selling my 2013 HP Ultrabook. i5-2467M 8GB Ram HD 7670M dedicated graphics 32gb SSD 500GB Windows 10 genuine activated. Woah! Why is it only $120? One of the hinges is broken. Other than that it's a really fast and capable Ultrabook. Lightweight, good screen, etc. It even games fairly well. I need this gone ASAP!"
39259516,ASUS Computer for sale., Desktops,"ASUS dual core Intel computer for sale. Everything works like new and its very clean inside and out. Its got windows 7 and will upgrade for free to windows 10 if upgraded before July. After that Microsoft will start charging.This sale is for just the tower. I also have a Quad core AMD system for sale. It's more for the games and selling it for $150. I also have a Dell Optiplex 955 Intel Dual core system for $150 and it comes with everything. 19"" flat screen, Mouse and keyboard.Feel free to call or text with any questions you may have. 30 day Warranty on all things sold."
38643827,MOTOROLA SB5120 Surfboard Cable Modem, Desktop Hardware and Accessories,"MOTOROLA SB5120 Surfboard Cable Modem 38Mbps Downstream, 30Mbps Upstream USB and Ethernet 10/100Base-T DOCSIS 2.0/1.1.  I would highly recommend this modem to anyone looking for a fast connection! I play a lot of games and this has been able to handle 2 computers and a game system going all at once with no problems.note this used but in full working condition, only modem and power supply. Any questions feel free to text me. Thanks for looking"
38644172,Cisco DPC3008 cable modem Docsis 3.0, Desktop Hardware and Accessories,"Cisco DPC3008 Cable Modem340 Mbps download and 120 Mbps upload speeds for high bandwidthGigabit Ethernet port for fast network connectionsComcast-certified with easy setupDOCSIS 3.0 and IPv6 support ensure up-to-date connectivityEliminate monthly modem rental fees,speed is everything in this little modem ,used but in full working condition. Feel free to text me if you have any questions. Thanks for looking."
39254432,"12"" Macbook Retina, 2016 Like New. Adobe CS6 Design Premium, Final Cut X, Microsoft Office 2011.", Apple Laptops,"I am selling my Nearly New just opened a few months ago 12"" Space Grey Macbook. This Machine was opened and loaded then decided I need something bigger. This Machine was purchased and loaded up for design with photos and graphics. It was built for the workforce. It will make such a perfect machine for a photographer, Graphics artist, or just that guy who doesn't want to pay through the nose for that New laptop he or she has been eyeing. I will list all the specs below but you can't believe just how new this machine is. If you want my brand new computer that has been set up for a photographer just perfectly, Ask any and all questions. Specs: - 2016 - 12"" Macbook (Space Grey)- 1.1Dual Core (Core M)- 8 GB Ram- 256 GB SSD Flash Memory (Hard Drive) . - Charger Included Box and Everthing.Software Installed: (Ask for Details)- Adobe CS6 Design Premium Package - Final Cut X (Also Known as 10)- Microsoft Office 2011- Latest OS X"
39254422,"Mobos with CPUs, complete Desktop cases, ETC.", Desktop Hardware and Accessories,"Got a bunch of stuff that has been sitting around. If you want details on something specific just let me know. All great parts, I just don't use them.MAKE ME AN OFFER for any or all of the items.There is a graphics card, not sure what kind, still works.There are two desktop cases including all the cords, power sources, screws, etc.There are two motherboards WITH CPUS. The one with the gaming CPU fan/heatsink thing has a Core 2 Duo 3 or 3.2GHZ. The motherboard with the smaller CPU fan is an AMD, can't recall which one but I think its at least a dual-core and sufficient even in 2016.SEE PICS to figure out what the specifics are OR text me and ask on a specific item. All stuff is as-is so check it out."
39254325,"LIKE NEW!!, LG G Pad 4G LTE Tablet, Black 8.3-Inch 16GB (Verizon Wireless)", Android Tablets and Accessories,"LIKE NEW, GOOD CONDITION!. Purchased this tablet at auction, tablet is in perfect working condition. Can be used over WiFi or Verizon Wireless network.FEATURES:-----------Display: 8.3-inches-Camera: 5-MP-Processor Speed: 1.5 GHz-OS: Android 4.2.2 (Jelly Bean)CALL OR TEXT ANYTIME"
39254307,iPad Air 2, Apple iPads and Accessories,"2016 iPad Air 2 wi-fi, 16GB Space Gray- New in unopened box purchased in February. $340- cash only. Text or call is best. 801-641-8682."
39254178,"APPLE charger, $5.", Apple Hardware and Accessories ,"APPLE charger, $5."
39254038,MacBook, Apple Laptops,"Intel 2GHz Processor,13.3"" LCD Screen,INCLUDES PROGRAMS:iTunes, iPhoto, iMovie, GarageBand,iCal, iChat, Photo Booth, FaceTimeMicrosoft Office for the Mac,Adobe Photoshop Suiteand much much more...90 DAY WARRANTYFinancing AvailableMon through Sat11:00 am until 7:00 pmSteve801-790-47411699 N Main St.Sunset, UT 84015"
39254010,"Apple IPad 4 Amazing Condition W/caseApple iPad with Retina Display MD513LL/A (16GB, Wi-Fi, White) 4th Generation NICE!", Apple iPads and Accessories,"Please call me with any questions. Reed 435-255-0693I AM ALSO WILLING TO TRADE ITEMS OF SIMILAR VALUE ie:SMARTPHONES, COMPUTERS, GAMING EQUIPMENT, IPAD/IPODS, TOOLS, MUSIC EQUIPMENT, GOLF CLUBS, VEHICLES OF ANY KIND INCLUDING MOTORCYCLES, RV'S ANYTHING THAT IS OF VALUE JUST TRY ME IF IT'S OF VALUE I WILL CONSIDER TRADING!"
39253963,"GOOD CONDITION, Samsung Galaxy Tab3 7"" Wifi 16GB (WHITE)", Android Tablets and Accessories,"IN GOOD CONDITION!!. Purchased this Samsung Galaxy Tab3 at auction its in perfect working condition. Tablet can be used on WiFi network. A CHARGER INCLUDED!. FEATURES:------------Android 4.1.2 Jelly Bean OS, 1.2 GHz dual-core processor-8 GB Flash Memory, 1 GB RAM Memory-Store photos, videos, music, and more with up to 64GB of memory available through a microSD slot and 50GB of free Dropbox storage-Camera: 3MP rear-facing, 1.3MP front-facingCALL OR TEXT ANYTIME"
39253947,Apple 85W MagSafe 2 Power Adapter, Apple Laptops,Apple MAC Laptop Charger 85W MagSafe 2 Power AdapterText 862-812-4187 (item located in Lehi)
39253868,"LIKE NEW, Samsung Galaxy Tab3 7"" Wifi/Sprint 16GB (BLUE)", Android Tablets and Accessories,"IN GOOD CONDITION!!. Purchased this Samsung Galaxy Tab3 at auction its in perfect working condition. Tablet can be used on WiFi or connected to your Sprint service. A CHARGER INCLUDED!. FEATURES:------------Android 4.1.2 Jelly Bean OS, 1.2 GHz dual-core processor-8 GB Flash Memory, 1 GB RAM Memory-Store photos, videos, music, and more with up to 64GB of memory available through a microSD slot and 50GB of free Dropbox storage-Camera: 3MP rear-facing, 1.3MP front-facingCALL OR TEXT ANYTIME"
39185508,Linksys 8 port router & 160G HD etc, Laptop Hardware and Accessories ,"I've acquired my uncle's electronics, I have a Linksys router $10., a Western Digital hard drive, still in pkg 160G 7200rpm $7.00. Several Ethernet cords of different lengths 5'-25'. The cords $3.00 ea. Less if you buy in bulk (take the lot of 'em). Lets make a deal! Cash money.  801'835'7097"
39185497,"Samsung HDTV 27"" monitor", Monitors,"Spring cleaning and guess what, I'm moving so this awesome computer monitor needs to find a new home.  Great resolution at 1920 x 1080 and 27""  Hook it up to your PC or set it up as a second monitor for your laptop.  I've owned it for two years however, I have another monitor so this one sat unused for most of those two years. Here are more specs on the monitor: http://www.samsung.com/us/support/owners/product/LT27B350ND/ZA"
39185593,"Great Condition MacBook Pro 15""", Apple Laptops,"Hello for sale is a great condition MacBook Pro 15"" 2009. Everything works and functions perfectly fine. There is absolutely nothing wrong with it. I just upgraded to the 2015. It comes with charger. I'm asking 450. "
39185413,Windows surface R, Laptops,I have a window surface R. In good conditions.Working perfectly. Still hold battery for very long. I don have much info with me now. Call or text for more. Monica (801)6382606.
39185412,Dual Dell E2414H LED Monitors, Monitors,"I have two Dell e2414h LED monitors here. They are gently used. They are great monitors, They have vga and dvi ports, if you need an hdmi adapter or display port adapter I will throw that in as well!! The lowest I have seen these go for USED is 120. So you can't find quality monitors like these for cheaper! Text is best.Jake801-922-0116"
39185395,Linksys 8 port router & 160G HD etc, Desktop Hardware and Accessories,I have acquired my uncle's electronics. I have a Linksys router $10. a Western Digital hard drive -still in pkg- 160G/7200rpm $7.00. Several Ethernet cords of different lengths 5'-25'. The cords $3.00 ea. Less if you buy in bulk (take the lot of 'em). Lets make a deal! Cash money. 8* 835' 7097
39185385,2GB 2Rx8 PC2-6400S Laptop Memory (2 left @ $10.00 ea.), Laptop Hardware and Accessories ,"2 sticks of 2GB 2Rx8 PC2-6400S Laptop Memory. All of my memory has been pulled from perfectly running laptops, and always kept in static-shielding bags."
38925404,Like new laptop-excellent specs-for sale, Laptops,"Acer aspire v5 model64 bit AMD processor4gb RAM720p HD resolution11.6"" screenLight weight and portable280gb hddRuns full Windows 10Loaded with fully licensed MS Office 2010Sparingly used by an elderly person during travel. Like new condition - no cosmetic wear and tear. Selling because dad retired and doesn't travel anymoreOnly cash purchases. No checks, PayPal or online payments"
39185250,Wanted Comcast modem, Laptop Hardware and Accessories ,WANTED COMCAST MODEM #8305 OR #862. MODEM WITH ROUTER AND TELEPHONE JACKS. NO TEXTS OR EMAILS. 801-486-3332
38768436,dell laptop, Laptops,"Dell Inspiron E1705 laptop. 17\\\"" screen built with the RoadReady durable design. 160Gb hard drive and 2Gb RAM. Selling on Amazon.com almost $300 for used. Needs battery"
39185177,MS Server STD 2012 /R2 X64, Software,I have a new media and license key for Windows Server STD 2012 /R2 X64
39185098,macbook pro model 1286, Apple Laptops,"Apple macbook pro model 1286. It has only been used twice for a quick printing jobs,  although it is'used' it is still basically brand new. The screen is in perfect shape, entire keyboard and touch mouse is in complete working order, the hard drive is 250gbs. But all great things must have one down fall... I'm missing the powercord, simply misplaced it, and according to my daughter it just 'walked away'. asking $500.00 but open to any offers. Thank you!"
39184939,Dell Inspiron Tower, Desktops,"I have a computer tower just chilling. It works, I put a new power supply in it,  but don't have a monitor. It's running Windows 7. 4gb RAM 500gb hdd. Optical drive. 4 USB ports. Hdmi. I'll even sell parts. 75 obo"
39184842,Dell ga240pe1-00 240W Family AC Power Adapter PA Charger For Alienware, Laptop Hardware and Accessories ,sale a Dell ga240pe1-00 240W Family AC Power Adapter PA Charger For Alienware.
39184921,Brand New Still Wrapped 2015 MacBook Pro 15 Inch, Apple Laptops,Brand new still in the wrapper 2015 15 inch MacBook Pro. This is the newest model and costs around $2200 when buying from Apple. Only accepting cash. Text me for more info
39184715,Canon Pixma Pro9000 Mark ii Professional Printer, Printers,"Comes in box, I bought this about a year ago and I have never used it.  I have opened it, cause wow this is the coolest printer and I wanted to see it.  I'm now moving in a few months and sadly don't want to take it with me.  It comes with the following inks: Black BK8, Cyan C8, Green G8,  Magenta PM8Maximum 4800x2400 dpi FINE printhead technologyPhoto Lab quality 11-inchx14-inch color photo in approximately 1 minute 23 secondsSupport for fine art paper up to 13""x19"" with two separate paper paths, including front feeder for heavy-weight paper typesProfessional printer features using Easy-PhotoPrint Pro plug-in softwareAmbient Light Correction feature; optimizes color output to match the specified lighting condition"
36995215,Overcoat Electronics Repair Pen, Desktop Hardware and Accessories,For sale is a Overcoat Pen made by circuit-works.This is a unique pen that can be used to repair and protect all sorts of electronic items such as computer equipment.Refer to the pictures for more specific information on what this pen can do.If interested text or call.Thanks
37822498,HP Scanjet 5000 Enterprise Scanner, Desktop Hardware and Accessories,Awesome for scanning documents.  Scans incredibly fast.  Not good for pictures.  This has been lightly used.  Cost $450 brand new.  Comes with power supply.Texts preferred.
39184490,Google Chromebook, Laptops,"Bought this 2 years ago because my other laptop got stolen. To my surprise it did everything I needed it to do and got me through school. Out of school and bought a macbook, so it's just collecting dust. Works great, text me if you're interested."
39184357,hp ink black, Printers,hp ink black
39184301,Gaming PC Computer i7 4.00GHZ (Keyboard + Mouse), Desktops,Intel (R) Core(TM) i7-4790K CPU @ 4.00GHZGeforce GTX 950ASUS Micro ATX DDR3 1600 LGA 1150 Motherboard B85M-G R2.016 GB Ram256 Solid State DriveWindows 10Great for gaming. Text me. (951) 642-8337
